Date,Price,Open,High,Low,Vol.,Change %
2016-11-21,"2,198.18","2,186.43","2,198.70","2,186.43",,0.75%
2016-11-22,"2,202.94","2,201.56","2,204.80","2,194.51",,0.22%
2016-11-23,"2,204.72","2,198.55","2,204.72","2,194.51",,0.08%
2016-11-24,"2,204.72","2,198.55","2,204.72","2,194.51",,0.08%
2016-11-25,"2,213.35","2,206.27","2,213.35","2,206.27",,0.39%
2016-11-26,"2,213.35","2,206.27","2,213.35","2,206.27",,0.39%
2016-11-27,"2,213.35","2,206.27","2,213.35","2,206.27",,0.39%
2016-11-28,"2,201.72","2,210.21","2,211.14","2,200.36",,-0.53%
2016-11-29,"2,204.66","2,200.76","2,210.46","2,198.15",,0.13%
2016-11-30,"2,198.81","2,204.97","2,214.10","2,198.81",,-0.27%
2016-12-01,"2,191.08","2,200.17","2,202.60","2,187.44",,-0.35%
2016-12-02,"2,191.95","2,191.12","2,197.95","2,188.37",,0.04%
2016-12-03,"2,191.95","2,191.12","2,197.95","2,188.37",,0.04%
2016-12-04,"2,191.95","2,191.12","2,197.95","2,188.37",,0.04%
2016-12-05,"2,204.71","2,200.65","2,209.42","2,199.97",,0.58%
2016-12-06,"2,212.23","2,207.26","2,212.78","2,202.21",,0.34%
2016-12-07,"2,241.35","2,210.72","2,241.63","2,208.93",,1.32%
2016-12-08,"2,246.19","2,241.13","2,251.69","2,237.57",,0.22%
2016-12-09,"2,259.53","2,249.73","2,259.80","2,249.23",,0.59%
2016-12-10,"2,259.53","2,249.73","2,259.80","2,249.23",,0.59%
2016-12-11,"2,259.53","2,249.73","2,259.80","2,249.23",,0.59%
2016-12-12,"2,256.96","2,258.83","2,264.03","2,252.37",,-0.11%
2016-12-13,"2,271.72","2,263.32","2,277.53","2,263.32",,0.65%
2016-12-14,"2,253.28","2,268.35","2,276.20","2,248.44",,-0.81%
2016-12-15,"2,262.03","2,253.77","2,272.12","2,253.77",,0.39%
2016-12-16,"2,258.07","2,266.81","2,268.05","2,254.24",,-0.18%
2016-12-17,"2,258.07","2,266.81","2,268.05","2,254.24",,-0.18%
2016-12-18,"2,258.07","2,266.81","2,268.05","2,254.24",,-0.18%
2016-12-19,"2,262.53","2,259.24","2,267.47","2,258.21",,0.20%
2016-12-20,"2,270.76","2,266.50","2,272.56","2,266.14",,0.36%
2016-12-21,"2,265.18","2,270.54","2,271.23","2,265.15",,-0.25%
2016-12-22,"2,260.96","2,262.93","2,263.18","2,256.08",,-0.19%
2016-12-23,"2,263.79","2,260.25","2,263.79","2,258.84",,0.13%
2016-12-24,"2,263.79","2,260.25","2,263.79","2,258.84",,0.13%
2016-12-25,"2,263.79","2,260.25","2,263.79","2,258.84",,0.13%
2016-12-26,"2,263.79","2,260.25","2,263.79","2,258.84",,0.13%
2016-12-27,"2,268.88","2,266.23","2,273.82","2,266.15",,0.22%
2016-12-28,"2,249.92","2,270.23","2,271.31","2,249.11",,-0.84%
2016-12-29,"2,249.26","2,249.50","2,254.51","2,244.56",,-0.03%
2016-12-30,"2,238.83","2,251.61","2,253.58","2,233.62",,-0.46%
2016-12-31,"2,238.83","2,251.61","2,253.58","2,233.62",,-0.46%
2017-01-01,"2,238.83","2,251.61","2,253.58","2,233.62",,-0.46%
2017-01-02,"2,238.83","2,251.61","2,253.58","2,233.62",,-0.46%
2017-01-03,"2,257.83","2,251.57","2,263.88","2,245.13",,0.85%
2017-01-04,"2,270.75","2,261.60","2,272.82","2,261.60",,0.57%
2017-01-05,"2,269.00","2,268.18","2,271.50","2,260.45",,-0.08%
2017-01-06,"2,276.98","2,271.14","2,282.10","2,264.06",,0.35%
2017-01-07,"2,276.98","2,271.14","2,282.10","2,264.06",,0.35%
2017-01-08,"2,276.98","2,271.14","2,282.10","2,264.06",,0.35%
2017-01-09,"2,268.90","2,273.59","2,275.49","2,268.90",,-0.35%
2017-01-10,"2,268.90","2,269.72","2,279.27","2,265.27",,0.00%
2017-01-11,"2,275.32","2,268.60","2,275.32","2,260.83",,0.28%
2017-01-12,"2,270.44","2,271.14","2,271.78","2,254.25",,-0.21%
2017-01-13,"2,274.64","2,272.74","2,278.68","2,271.51",,0.18%
2017-01-14,"2,274.64","2,272.74","2,278.68","2,271.51",,0.18%
2017-01-15,"2,274.64","2,272.74","2,278.68","2,271.51",,0.18%
2017-01-16,"2,274.64","2,272.74","2,278.68","2,271.51",,0.18%
2017-01-17,"2,267.89","2,269.14","2,272.08","2,262.81",,-0.30%
2017-01-18,"2,271.89","2,269.14","2,272.01","2,263.35",,0.18%
2017-01-19,"2,263.69","2,271.90","2,274.33","2,258.41",,-0.36%
2017-01-20,"2,271.31","2,269.96","2,276.96","2,265.01",,0.34%
2017-01-21,"2,271.31","2,269.96","2,276.96","2,265.01",,0.34%
2017-01-22,"2,271.31","2,269.96","2,276.96","2,265.01",,0.34%
2017-01-23,"2,265.20","2,267.78","2,271.78","2,257.02",,-0.27%
2017-01-24,"2,280.07","2,267.88","2,284.63","2,266.68",,0.66%
2017-01-25,"2,298.37","2,288.88","2,299.55","2,288.88",,0.80%
2017-01-26,"2,296.68","2,298.63","2,300.99","2,294.08",,-0.07%
2017-01-27,"2,294.69","2,299.02","2,299.02","2,291.62",,-0.09%
2017-01-28,"2,294.69","2,299.02","2,299.02","2,291.62",,-0.09%
2017-01-29,"2,294.69","2,299.02","2,299.02","2,291.62",,-0.09%
2017-01-30,"2,280.90","2,286.01","2,286.01","2,268.04",,-0.60%
2017-01-31,"2,278.87","2,274.02","2,279.09","2,267.21",,-0.09%
2017-02-01,"2,279.55","2,285.59","2,289.14","2,272.44",,0.03%
2017-02-02,"2,280.85","2,276.69","2,283.97","2,271.65",,0.06%
2017-02-03,"2,297.42","2,288.54","2,298.31","2,287.88",,0.73%
2017-02-04,"2,297.42","2,288.54","2,298.31","2,287.88",,0.73%
2017-02-05,"2,297.42","2,288.54","2,298.31","2,287.88",,0.73%
2017-02-06,"2,292.56","2,294.28","2,296.18","2,288.57",,-0.21%
2017-02-07,"2,293.08","2,295.87","2,299.40","2,290.16",,0.02%
2017-02-08,"2,294.67","2,289.55","2,295.91","2,285.38",,0.07%
2017-02-09,"2,307.87","2,296.70","2,311.08","2,296.61",,0.58%
2017-02-10,"2,316.10","2,312.27","2,319.23","2,311.10",,0.36%
2017-02-11,"2,316.10","2,312.27","2,319.23","2,311.10",,0.36%
2017-02-12,"2,316.10","2,312.27","2,319.23","2,311.10",,0.36%
2017-02-13,"2,328.25","2,321.72","2,331.58","2,321.42",,0.52%
2017-02-14,"2,337.58","2,326.12","2,337.58","2,322.17",,0.40%
2017-02-15,"2,349.25","2,335.58","2,351.30","2,334.81",,0.50%
2017-02-16,"2,347.22","2,349.64","2,351.31","2,338.87",,-0.09%
2017-02-17,"2,351.16","2,343.01","2,351.16","2,339.58",,0.17%
2017-02-18,"2,351.16","2,343.01","2,351.16","2,339.58",,0.17%
2017-02-19,"2,351.16","2,343.01","2,351.16","2,339.58",,0.17%
2017-02-20,"2,351.16","2,343.01","2,351.16","2,339.58",,0.17%
2017-02-21,"2,365.38","2,354.91","2,366.71","2,354.91",,0.60%
2017-02-22,"2,362.82","2,361.11","2,365.13","2,358.34",,-0.11%
2017-02-23,"2,363.81","2,367.50","2,368.26","2,355.09",,0.04%
2017-02-24,"2,367.34","2,355.73","2,367.34","2,352.87",,0.15%
2017-02-25,"2,367.34","2,355.73","2,367.34","2,352.87",,0.15%
2017-02-26,"2,367.34","2,355.73","2,367.34","2,352.87",,0.15%
2017-02-27,"2,369.75","2,365.23","2,371.54","2,361.87",,0.10%
2017-02-28,"2,363.64","2,366.08","2,367.79","2,358.96",,-0.26%
2017-03-01,"2,395.96","2,380.13","2,400.98","2,380.13",,1.37%
2017-03-02,"2,381.92","2,394.75","2,394.75","2,380.17",,-0.59%
2017-03-03,"2,383.12","2,380.92","2,383.89","2,375.39",,0.05%
2017-03-04,"2,383.12","2,380.92","2,383.89","2,375.39",,0.05%
2017-03-05,"2,383.12","2,380.92","2,383.89","2,375.39",,0.05%
2017-03-06,"2,375.31","2,375.23","2,378.80","2,367.98",,-0.33%
2017-03-07,"2,368.39","2,370.74","2,375.12","2,365.51",,-0.29%
2017-03-08,"2,362.98","2,369.81","2,373.09","2,361.01",,-0.23%
2017-03-09,"2,364.87","2,363.49","2,369.08","2,354.54",,0.08%
2017-03-10,"2,372.60","2,372.52","2,376.86","2,363.04",,0.33%
2017-03-11,"2,372.60","2,372.52","2,376.86","2,363.04",,0.33%
2017-03-12,"2,372.60","2,372.52","2,376.86","2,363.04",,0.33%
2017-03-13,"2,373.47","2,371.56","2,374.42","2,368.52",,0.04%
2017-03-14,"2,365.45","2,368.55","2,368.55","2,358.18",,-0.34%
2017-03-15,"2,385.26","2,370.34","2,390.01","2,368.94",,0.84%
2017-03-16,"2,381.38","2,387.71","2,388.10","2,377.18",,-0.16%
2017-03-17,"2,378.25","2,383.71","2,385.71","2,377.64",,-0.13%
2017-03-18,"2,378.25","2,383.71","2,385.71","2,377.64",,-0.13%
2017-03-19,"2,378.25","2,383.71","2,385.71","2,377.64",,-0.13%
2017-03-20,"2,373.47","2,378.24","2,379.55","2,369.66",,-0.20%
2017-03-21,"2,344.02","2,379.32","2,381.93","2,341.90",,-1.24%
2017-03-22,"2,348.45","2,343.00","2,351.81","2,336.45",,0.19%
2017-03-23,"2,345.96","2,345.97","2,358.92","2,342.13",,-0.11%
2017-03-24,"2,343.98","2,350.42","2,356.22","2,335.74",,-0.08%
2017-03-25,"2,343.98","2,350.42","2,356.22","2,335.74",,-0.08%
2017-03-26,"2,343.98","2,350.42","2,356.22","2,335.74",,-0.08%
2017-03-27,"2,341.59","2,329.11","2,344.90","2,322.25",,-0.10%
2017-03-28,"2,358.57","2,339.79","2,363.78","2,337.63",,0.73%
2017-03-29,"2,361.13","2,356.54","2,363.36","2,352.94",,0.11%
2017-03-30,"2,368.06","2,361.31","2,370.42","2,358.58",,0.29%
2017-03-31,"2,362.72","2,364.82","2,370.35","2,362.60",,-0.23%
2017-04-01,"2,362.72","2,364.82","2,370.35","2,362.60",,-0.23%
2017-04-02,"2,362.72","2,364.82","2,370.35","2,362.60",,-0.23%
2017-04-03,"2,358.84","2,362.34","2,365.87","2,344.73",,-0.16%
2017-04-04,"2,360.16","2,354.76","2,360.53","2,350.72",,0.06%
2017-04-05,"2,352.95","2,366.59","2,378.36","2,350.52",,-0.31%
2017-04-06,"2,357.49","2,353.79","2,364.16","2,348.90",,0.19%
2017-04-07,"2,355.54","2,356.59","2,363.76","2,350.74",,-0.08%
2017-04-08,"2,355.54","2,356.59","2,363.76","2,350.74",,-0.08%
2017-04-09,"2,355.54","2,356.59","2,363.76","2,350.74",,-0.08%
2017-04-10,"2,357.16","2,357.16","2,366.37","2,351.50",,0.07%
2017-04-11,"2,353.78","2,353.92","2,355.22","2,337.25",,-0.14%
2017-04-12,"2,344.93","2,352.15","2,352.72","2,341.18",,-0.38%
2017-04-13,"2,328.95","2,341.98","2,348.26","2,328.95",,-0.68%
2017-04-14,"2,328.95","2,341.98","2,348.26","2,328.95",,-0.68%
2017-04-15,"2,328.95","2,341.98","2,348.26","2,328.95",,-0.68%
2017-04-16,"2,328.95","2,341.98","2,348.26","2,328.95",,-0.68%
2017-04-17,"2,349.01","2,332.62","2,349.14","2,332.51",,0.86%
2017-04-18,"2,342.19","2,342.53","2,348.35","2,334.54",,-0.29%
2017-04-19,"2,338.17","2,346.79","2,352.63","2,335.05",,-0.17%
2017-04-20,"2,355.84","2,342.69","2,361.37","2,340.91",,0.76%
2017-04-21,"2,348.69","2,354.74","2,356.18","2,344.51",,-0.30%
2017-04-22,"2,348.69","2,354.74","2,356.18","2,344.51",,-0.30%
2017-04-23,"2,348.69","2,354.74","2,356.18","2,344.51",,-0.30%
2017-04-24,"2,374.15","2,370.33","2,376.98","2,369.19",,1.08%
2017-04-25,"2,388.61","2,381.51","2,392.48","2,381.15",,0.61%
2017-04-26,"2,387.45","2,388.98","2,398.16","2,386.76",,-0.05%
2017-04-27,"2,388.77","2,389.70","2,392.10","2,382.68",,0.06%
2017-04-28,"2,384.20","2,393.68","2,393.68","2,382.36",,-0.19%
2017-04-29,"2,384.20","2,393.68","2,393.68","2,382.36",,-0.19%
2017-04-30,"2,384.20","2,393.68","2,393.68","2,382.36",,-0.19%
2017-05-01,"2,388.33","2,388.50","2,394.49","2,384.83",,0.17%
2017-05-02,"2,391.17","2,391.05","2,392.93","2,385.82",,0.12%
2017-05-03,"2,388.13","2,386.50","2,389.82","2,379.75",,-0.13%
2017-05-04,"2,389.52","2,389.79","2,391.43","2,380.35",,0.06%
2017-05-05,"2,399.29","2,392.37","2,399.29","2,389.38",,0.41%
2017-05-06,"2,399.29","2,392.37","2,399.29","2,389.38",,0.41%
2017-05-07,"2,399.29","2,392.37","2,399.29","2,389.38",,0.41%
2017-05-08,"2,399.38","2,399.94","2,401.36","2,393.92",,0.00%
2017-05-09,"2,396.92","2,401.58","2,403.87","2,392.44",,-0.10%
2017-05-10,"2,399.63","2,396.79","2,399.74","2,392.79",,0.11%
2017-05-11,"2,394.44","2,394.84","2,395.72","2,381.74",,-0.22%
2017-05-12,"2,390.90","2,392.44","2,392.44","2,387.19",,-0.15%
2017-05-13,"2,390.90","2,392.44","2,392.44","2,387.19",,-0.15%
2017-05-14,"2,390.90","2,392.44","2,392.44","2,387.19",,-0.15%
2017-05-15,"2,402.32","2,393.98","2,404.05","2,393.94",,0.48%
2017-05-16,"2,400.67","2,404.55","2,405.77","2,396.05",,-0.07%
2017-05-17,"2,357.03","2,382.95","2,384.87","2,356.21",,-1.82%
2017-05-18,"2,365.72","2,354.69","2,375.74","2,352.72",,0.37%
2017-05-19,"2,381.73","2,371.37","2,389.06","2,370.43",,0.68%
2017-05-20,"2,381.73","2,371.37","2,389.06","2,370.43",,0.68%
2017-05-21,"2,381.73","2,371.37","2,389.06","2,370.43",,0.68%
2017-05-22,"2,394.02","2,387.21","2,395.46","2,386.92",,0.52%
2017-05-23,"2,398.42","2,397.04","2,400.85","2,393.88",,0.18%
2017-05-24,"2,404.39","2,401.41","2,405.58","2,397.99",,0.25%
2017-05-25,"2,415.07","2,409.54","2,418.71","2,408.01",,0.44%
2017-05-26,"2,415.82","2,414.50","2,416.68","2,412.20",,0.03%
2017-05-27,"2,415.82","2,414.50","2,416.68","2,412.20",,0.03%
2017-05-28,"2,415.82","2,414.50","2,416.68","2,412.20",,0.03%
2017-05-29,"2,415.82","2,414.50","2,416.68","2,412.20",,0.03%
2017-05-30,"2,412.91","2,411.67","2,415.26","2,409.43",,-0.12%
2017-05-31,"2,411.80","2,415.63","2,415.99","2,403.59",,-0.05%
2017-06-01,"2,430.06","2,415.65","2,430.06","2,413.54",,0.76%
2017-06-02,"2,439.07","2,431.28","2,440.23","2,427.71",,0.37%
2017-06-03,"2,439.07","2,431.28","2,440.23","2,427.71",,0.37%
2017-06-04,"2,439.07","2,431.28","2,440.23","2,427.71",,0.37%
2017-06-05,"2,436.10","2,437.83","2,439.55","2,434.32",,-0.12%
2017-06-06,"2,429.33","2,431.92","2,436.21","2,428.12",,-0.28%
2017-06-07,"2,433.14","2,432.03","2,435.28","2,424.75",,0.16%
2017-06-08,"2,433.79","2,434.27","2,439.27","2,427.94",,0.03%
2017-06-09,"2,431.77","2,436.39","2,446.20","2,415.70",,-0.08%
2017-06-10,"2,431.77","2,436.39","2,446.20","2,415.70",,-0.08%
2017-06-11,"2,431.77","2,436.39","2,446.20","2,415.70",,-0.08%
2017-06-12,"2,429.39","2,425.88","2,430.38","2,419.97",,-0.10%
2017-06-13,"2,440.35","2,434.15","2,441.49","2,431.28",,0.45%
2017-06-14,"2,437.92","2,443.75","2,443.75","2,428.34",,-0.10%
2017-06-15,"2,432.46","2,424.14","2,433.95","2,418.53",,-0.22%
2017-06-16,"2,433.15","2,431.24","2,433.15","2,422.88",,0.03%
2017-06-17,"2,433.15","2,431.24","2,433.15","2,422.88",,0.03%
2017-06-18,"2,433.15","2,431.24","2,433.15","2,422.88",,0.03%
2017-06-19,"2,453.46","2,442.55","2,453.82","2,441.79",,0.83%
2017-06-20,"2,437.03","2,450.66","2,450.66","2,436.60",,-0.67%
2017-06-21,"2,435.61","2,439.31","2,442.23","2,430.74",,-0.06%
2017-06-22,"2,434.50","2,437.40","2,441.62","2,433.27",,-0.05%
2017-06-23,"2,438.30","2,434.65","2,441.40","2,431.11",,0.16%
2017-06-24,"2,438.30","2,434.65","2,441.40","2,431.11",,0.16%
2017-06-25,"2,438.30","2,434.65","2,441.40","2,431.11",,0.16%
2017-06-26,"2,439.07","2,443.32","2,450.42","2,437.03",,0.03%
2017-06-27,"2,419.38","2,436.34","2,440.15","2,419.38",,-0.81%
2017-06-28,"2,440.69","2,428.70","2,442.97","2,428.02",,0.88%
2017-06-29,"2,419.70","2,442.38","2,442.73","2,405.70",,-0.86%
2017-06-30,"2,423.41","2,429.20","2,432.71","2,421.65",,0.15%
2017-07-01,"2,423.41","2,429.20","2,432.71","2,421.65",,0.15%
2017-07-02,"2,423.41","2,429.20","2,432.71","2,421.65",,0.15%
2017-07-03,"2,429.01","2,431.39","2,439.17","2,428.69",,0.23%
2017-07-04,"2,429.01","2,431.39","2,439.17","2,428.69",,0.23%
2017-07-05,"2,432.54","2,430.78","2,434.90","2,422.05",,0.15%
2017-07-06,"2,409.75","2,423.44","2,424.28","2,407.70",,-0.94%
2017-07-07,"2,425.18","2,413.52","2,426.92","2,413.52",,0.64%
2017-07-08,"2,425.18","2,413.52","2,426.92","2,413.52",,0.64%
2017-07-09,"2,425.18","2,413.52","2,426.92","2,413.52",,0.64%
2017-07-10,"2,427.43","2,424.51","2,432.00","2,422.27",,0.09%
2017-07-11,"2,425.53","2,427.35","2,429.30","2,412.79",,-0.08%
2017-07-12,"2,443.25","2,435.75","2,445.76","2,435.75",,0.73%
2017-07-13,"2,447.83","2,444.99","2,449.32","2,441.69",,0.19%
2017-07-14,"2,459.27","2,449.16","2,463.54","2,446.69",,0.47%
2017-07-15,"2,459.27","2,449.16","2,463.54","2,446.69",,0.47%
2017-07-16,"2,459.27","2,449.16","2,463.54","2,446.69",,0.47%
2017-07-17,"2,459.14","2,459.50","2,462.82","2,457.16",,-0.01%
2017-07-18,"2,460.61","2,455.88","2,460.92","2,450.34",,0.06%
2017-07-19,"2,473.83","2,463.85","2,473.83","2,463.85",,0.54%
2017-07-20,"2,473.45","2,475.56","2,477.62","2,468.43",,-0.02%
2017-07-21,"2,472.54","2,467.40","2,472.54","2,465.06",,-0.04%
2017-07-22,"2,472.54","2,467.40","2,472.54","2,465.06",,-0.04%
2017-07-23,"2,472.54","2,467.40","2,472.54","2,465.06",,-0.04%
2017-07-24,"2,469.91","2,472.04","2,473.10","2,466.32",,-0.11%
2017-07-25,"2,477.13","2,477.88","2,481.24","2,474.91",,0.29%
2017-07-26,"2,477.83","2,479.97","2,481.69","2,474.94",,0.03%
2017-07-27,"2,475.42","2,482.76","2,484.04","2,459.93",,-0.10%
2017-07-28,"2,472.10","2,469.12","2,473.53","2,464.66",,-0.13%
2017-07-29,"2,472.10","2,469.12","2,473.53","2,464.66",,-0.13%
2017-07-30,"2,472.10","2,469.12","2,473.53","2,464.66",,-0.13%
2017-07-31,"2,470.30","2,475.94","2,477.96","2,468.53",,-0.07%
2017-08-01,"2,476.35","2,477.10","2,478.51","2,471.14",,0.24%
2017-08-02,"2,477.57","2,480.38","2,480.38","2,466.48",,0.05%
2017-08-03,"2,472.16","2,476.03","2,476.03","2,468.85",,-0.22%
2017-08-04,"2,476.83","2,476.88","2,480.00","2,472.08",,0.19%
2017-08-05,"2,476.83","2,476.88","2,480.00","2,472.08",,0.19%
2017-08-06,"2,476.83","2,476.88","2,480.00","2,472.08",,0.19%
2017-08-07,"2,480.91","2,477.14","2,480.95","2,475.88",,0.16%
2017-08-08,"2,474.92","2,478.35","2,490.87","2,470.32",,-0.24%
2017-08-09,"2,474.02","2,465.35","2,474.41","2,462.08",,-0.04%
2017-08-10,"2,438.21","2,465.38","2,465.38","2,437.75",,-1.45%
2017-08-11,"2,441.32","2,441.04","2,448.09","2,437.85",,0.13%
2017-08-12,"2,441.32","2,441.04","2,448.09","2,437.85",,0.13%
2017-08-13,"2,441.32","2,441.04","2,448.09","2,437.85",,0.13%
2017-08-14,"2,465.84","2,454.96","2,468.22","2,454.96",,1.00%
2017-08-15,"2,464.61","2,468.66","2,468.90","2,461.61",,-0.05%
2017-08-16,"2,468.11","2,468.63","2,474.93","2,463.86",,0.14%
2017-08-17,"2,430.01","2,462.95","2,465.02","2,430.01",,-1.54%
2017-08-18,"2,425.55","2,427.64","2,440.27","2,420.69",,-0.18%
2017-08-19,"2,425.55","2,427.64","2,440.27","2,420.69",,-0.18%
2017-08-20,"2,425.55","2,427.64","2,440.27","2,420.69",,-0.18%
2017-08-21,"2,428.37","2,425.50","2,430.58","2,417.35",,0.12%
2017-08-22,"2,452.51","2,433.75","2,454.77","2,433.67",,0.99%
2017-08-23,"2,444.04","2,444.88","2,448.91","2,441.42",,-0.35%
2017-08-24,"2,438.97","2,447.91","2,450.39","2,436.19",,-0.21%
2017-08-25,"2,443.05","2,444.72","2,453.96","2,442.22",,0.17%
2017-08-26,"2,443.05","2,444.72","2,453.96","2,442.22",,0.17%
2017-08-27,"2,443.05","2,444.72","2,453.96","2,442.22",,0.17%
2017-08-28,"2,444.24","2,447.35","2,449.12","2,439.03",,0.05%
2017-08-29,"2,446.30","2,431.94","2,449.19","2,428.20",,0.08%
2017-08-30,"2,457.59","2,446.06","2,460.31","2,443.77",,0.46%
2017-08-31,"2,471.65","2,462.65","2,475.01","2,462.65",,0.57%
2017-09-01,"2,476.55","2,474.42","2,480.38","2,473.85",,0.20%
2017-09-02,"2,476.55","2,474.42","2,480.38","2,473.85",,0.20%
2017-09-03,"2,476.55","2,474.42","2,480.38","2,473.85",,0.20%
2017-09-04,"2,476.55","2,474.42","2,480.38","2,473.85",,0.20%
2017-09-05,"2,457.85","2,470.35","2,471.97","2,446.55",,-0.76%
2017-09-06,"2,465.54","2,463.83","2,469.64","2,459.20",,0.31%
2017-09-07,"2,465.10","2,468.06","2,468.62","2,460.29",,-0.02%
2017-09-08,"2,461.43","2,462.25","2,467.11","2,459.40",,-0.15%
2017-09-09,"2,461.43","2,462.25","2,467.11","2,459.40",,-0.15%
2017-09-10,"2,461.43","2,462.25","2,467.11","2,459.40",,-0.15%
2017-09-11,"2,488.11","2,474.52","2,488.95","2,474.52",,1.08%
2017-09-12,"2,496.48","2,491.94","2,496.77","2,490.37",,0.34%
2017-09-13,"2,498.37","2,493.89","2,498.37","2,492.14",,0.08%
2017-09-14,"2,495.62","2,494.56","2,498.43","2,491.35",,-0.11%
2017-09-15,"2,500.23","2,495.67","2,500.23","2,493.16",,0.18%
2017-09-16,"2,500.23","2,495.67","2,500.23","2,493.16",,0.18%
2017-09-17,"2,500.23","2,495.67","2,500.23","2,493.16",,0.18%
2017-09-18,"2,503.87","2,502.51","2,508.32","2,499.92",,0.15%
2017-09-19,"2,506.65","2,506.29","2,507.84","2,503.19",,0.11%
2017-09-20,"2,508.24","2,506.84","2,508.85","2,496.67",,0.06%
2017-09-21,"2,500.60","2,507.16","2,507.16","2,499.00",,-0.30%
2017-09-22,"2,502.22","2,497.26","2,503.47","2,496.54",,0.06%
2017-09-23,"2,502.22","2,497.26","2,503.47","2,496.54",,0.06%
2017-09-24,"2,502.22","2,497.26","2,503.47","2,496.54",,0.06%
2017-09-25,"2,496.66","2,499.39","2,502.54","2,488.03",,-0.22%
2017-09-26,"2,496.84","2,501.04","2,503.51","2,495.12",,0.01%
2017-09-27,"2,507.04","2,503.30","2,511.75","2,495.91",,0.41%
